name,area_km2,poblacion,pobreza_pct,ingreso,escolaridad,nse_index,pm25_mean,no2_mean,n_grid,pm25_who_ratio,no2_who_ratio,no2_column_mol_m2,blh_mean,aod_470,no2_surface_ug_m3,green_km2,green_pct,n_green,health_n_total,health_n_hospital,health_n_clinic,health_n_primary_care,health_n_pharmacy,health_n_laboratory,health_n_dental,health_n_mental_health,health_density_per_km2,health_n_access_grid,mean_nearest_health_m,median_nearest_health_m,p90_nearest_health_m,mean_nearest_hospital_m,median_nearest_hospital_m,p90_nearest_hospital_m,mean_nearest_primary_care_m,median_nearest_primary_care_m,p90_nearest_primary_care_m,mean_nearest_health_network_m,median_nearest_health_network_m,p90_nearest_health_network_m,mean_nearest_hospital_network_m,median_nearest_hospital_network_m,p90_nearest_hospital_network_m,mean_nearest_primary_care_network_m,median_nearest_primary_care_network_m,p90_nearest_primary_care_network_m,tmean_annual_c,tmax_mean_annual_c,summer_tmax_mean_c,tmax_p95_c,tmax_abs_c,apparent_tmax_mean_c,hot_days_30c,hot_days_35c,apparent_hot_days_35c,tropical_nights_20c,precip_annual_mm,heat_exposure_index,urban_heat_anomaly_c,climate_n_area_grid_points,climate_nearest_point_m,climate_used_nearest_fallback,climate_n_days,om_tmean_annual_c,om_tmax_mean_annual_c,om_tmin_mean_annual_c,om_tmean_summer_c,om_tmax_mean_summer_c,om_tmin_mean_summer_c,om_tmean_winter_c,om_tmax_mean_winter_c,om_tmin_mean_winter_c,om_hot_days_30c,om_hot_days_35c,om_tropical_nights_20c,om_frost_days,om_heat_wave_days,om_cold_spell_days,om_dtr_mean_c,om_dtr_p95_c,om_temp_monthly_sd,om_seasonal_amplitude_c,om_cdd_18,om_hdd_10,om_ehdd,om_tmax_p95_c,om_tmin_p05_c
Estación Central,14.29,218525,22.81,326521.0,12.15677970938385,-0.093,28.77,42.63,0,5.75,4.26,0.000184,313.0,0.1504,26.98,0.423,2.96,81,49,1,6,7,23,0,5,1,3.4299,15,323,345,477,1464,1385,2144,719,677,1074,323,345,477,1464,1385,2144,719,677,1074,16.11,23.23,31.09,33.72,37.8,22.25,91.0,8.0,8.0,2.0,721.8,1.04,1.07,0,0.0,True,366.0,16.10928961748634,23.233606557377048,10.51448087431694,22.468131868131863,31.09010989010989,15.386813186813187,9.865217391304348,15.244565217391305,5.7760869565217385,91,8,2,2,22,32,12.719125683060112,18.175000000000004,5.50820928258254,12.602914476827516,594.5,114.6,45.10000000000001,33.724999999999994,2.7
Huechuraba,44.96,116377,18.64,200000.0,12.27306435463804,-0.091,7.8,2.96,0,1.56,0.3,0.000195,357.2,0.1431,25.15,0.855,1.9,90,38,0,2,7,20,0,5,1,0.8452,44,1339,1027,2800,6355,6485,8344,1726,1589,3159,1339,1027,2800,6355,6485,8344,1726,1589,3159,15.35,21.97,29.7,31.98,35.5,20.6,49.0,2.0,0.0,0.0,434.7,-0.42,-0.32,0,0.0,True,366.0,16.061475409836067,22.694535519125687,10.713934426229509,22.08021978021978,30.42527472527472,15.012087912087914,10.4,14.906521739130437,6.829347826086957,71,4,0,0,27,24,11.980601092896176,17.275000000000006,5.092516384808906,11.68021978021978,536.6,100.7,53.24999999999994,32.675000000000004,4.4
Independencia,7.28,150807,22.42,400000.0,13.22688971703708,0.273,15.9,17.46,0,3.18,1.75,0.000225,358.9,0.1497,28.89,0.126,1.73,39,46,6,6,6,11,0,7,1,6.3153,6,245,188,407,1291,1397,1820,550,473,934,245,188,407,1291,1397,1820,550,473,934,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.2,0.37,0,0.0,True,366.0,16.1724043715847,22.754644808743173,11.006557377049178,22.03076923076923,30.397802197802196,15.33076923076923,10.71195652173913,15.108695652173916,6.985869565217392,68,3,3,1,26,28,11.748087431693987,17.0,4.977032964093704,11.318812709030103,536.6,89.70000000000002,53.19999999999999,32.675000000000004,4.125
Isla de Maipo,187.55,41550,22.88,210000.0,10.07175024342761,-0.722,28.77,42.63,2,5.75,4.26,4.7e-05,321.5,0.1133,6.74,0.797,0.42,42,14,0,0,12,2,0,0,0,0.0746,183,2757,2359,5530,10559,10647,13668,2815,2393,5643,60,37,123,10559,10647,13668,60,37,123,14.71,22.59,30.11,32.5,38.1,21.66,63.5,6.5,5.5,0.0,651.8,0.2,0.09,2,0.0,False,366.0,15.285245901639342,21.87595628415301,10.241803278688524,20.626373626373624,29.11648351648351,14.057142857142855,9.97391304347826,14.63152173913043,6.336956521739129,41,6,0,3,19,29,11.634153005464482,17.55,4.683232235937143,10.652460582895364,355.90000000000003,120.5,46.90000000000002,31.975,3.65
La Cisterna,10.01,101315,13.47,320803.0,12.79405031538454,0.495,28.77,42.63,0,5.75,4.26,0.000184,313.0,0.1358,27.06,0.121,1.21,29,46,0,7,6,23,0,8,0,4.5951,9,413,421,689,3665,3790,4471,617,742,958,413,421,689,3665,3790,4471,617,742,958,14.98,22.21,30.11,32.58,36.7,21.27,62.0,3.0,3.0,0.0,708.2,0.03,0.09,0,0.0,True,366.0,15.618852459016392,22.198360655737705,10.4,21.779120879120875,29.72857142857143,15.526373626373628,9.660869565217393,14.84565217391304,5.447826086956522,53,2,3,4,26,28,11.798360655737708,16.8,5.348161470147802,12.118251313903482,503.1,156.5,49.60000000000003,32.0,1.925
La Florida,71.12,406402,13.16,318088.0,12.59193745115305,0.466,17.5,23.7,1,3.5,2.37,0.000144,307.5,0.1312,21.54,1.011,1.42,326,133,1,14,26,56,2,22,1,1.8701,66,2346,1093,6062,4723,3964,8702,2545,1475,6204,2346,1093,6062,4723,3964,8702,2545,1475,6204,13.4,19.18,26.16,28.6,32.0,18.29,9.0,0.0,0.0,0.0,546.3,-1.73,-3.86,1,0.0,False,366.0,14.835792349726775,21.450000000000003,9.426775956284157,21.18571428571429,28.9021978021978,15.114285714285716,8.748913043478263,14.453260869565216,4.1173913043478265,34,1,0,16,28,29,12.023224043715848,17.275,5.496058887421919,12.436801242236028,413.4,230.3,53.59999999999999,31.1,0.35
La Granja,10.06,120772,22.31,209778.0,10.70458808816618,-0.568,17.5,23.7,0,3.5,2.37,0.000192,313.0,0.136,28.27,0.775,7.71,150,26,0,1,10,8,0,6,1,2.5846,9,441,482,602,1905,1840,2596,617,617,847,441,482,602,1905,1840,2596,617,617,847,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.11,-0.3,0,0.0,True,366.0,15.618852459016392,22.198360655737705,10.4,21.779120879120875,29.72857142857143,15.526373626373628,9.660869565217393,14.84565217391304,5.447826086956522,53,2,3,4,26,28,11.798360655737708,16.8,5.348161470147802,12.118251313903482,503.1,156.5,49.60000000000003,32.0,1.925
La Pintana,30.53,189224,27.0,156000.0,10.23287956427394,-0.997,17.5,23.7,0,3.5,2.37,0.000139,313.0,0.162,20.41,0.64,2.1,222,20,0,0,13,4,1,0,1,0.655,30,900,743,1673,3209,3189,4951,942,778,1673,185,185,334,3209,3189,4951,942,778,1673,14.06,21.34,29.24,31.8,35.8,20.38,40.0,2.0,0.0,0.0,695.3,-0.58,-0.79,0,0.0,True,366.0,14.078415300546448,21.338524590163935,8.109289617486338,20.4010989010989,29.23626373626373,13.17032967032967,7.853260869565218,13.665217391304347,3.172826086956522,40,2,0,30,24,27,13.229234972677595,18.9,5.526522202498854,12.547838031533685,315.5,297.5,47.450000000000024,31.8,-1.1
La Reina,23.64,99946,4.9,420917.0,14.79302543101286,1.507,7.8,2.96,0,1.56,0.3,0.000191,307.5,0.1303,28.51,1.171,4.95,95,55,1,8,7,24,0,7,1,2.3264,21,632,482,1491,1843,1705,2918,1012,895,1963,632,482,1491,1843,1705,2918,1012,895,1963,15.4,21.97,29.5,31.78,35.8,20.96,47.0,2.0,1.0,3.0,513.7,-0.22,-0.53,0,0.0,True,366.0,15.48032786885246,22.073224043715847,10.274043715846997,21.64395604395604,29.5978021978022,15.4010989010989,9.52282608695652,14.719565217391304,5.325,48,2,3,5,26,28,11.799180327868852,16.8,5.346043504849164,12.12112995699952,482.1,166.9,48.199999999999946,31.875,1.825
Lampa,450.07,137016,25.61,180000.0,10.89962950155571,-0.751,15.9,17.46,4,3.18,1.75,7.5e-05,354.7,0.1199,9.67,0.712,0.16,142,20,0,1,9,5,1,3,1,0.0444,449,4670,4075,9213,15541,15416,20239,4975,4263,9367,111,111,111,15541,15416,20239,111,111,111,16.73,23.9,31.62,34.09,37.4,22.93,100.5,15.5,13.75,2.25,624.42,1.64,1.59,4,0.0,False,366.0,16.687158469945356,23.903551912568307,10.860928961748634,23.204395604395607,31.5989010989011,15.891208791208792,10.352173913043478,15.952173913043476,6.0836956521739145,104,12,3,0,29,28,13.042622950819672,18.275,5.624300382365171,12.85222169135213,706.8000000000001,96.4,53.900000000000006,33.975,3.225
