source,matched_in,name,official_type,commune,lon,lat
osm,deis,Cruz Verde,,Providencia,-70.6098437,-33.42152720000001
osm,deis,Cruz Verde,,Puente Alto,-70.5790751,-33.601222799999995
osm,deis,Cruz Verde,,Santiago,-70.6686562,-33.44042409999999
osm,deis,Cruz Verde,,Providencia,-70.6174573,-33.4274659
osm,deis,Farmacias del Doctor Simi,,Providencia,-70.617703,-33.4276163
osm,deis,Farmacias Ahumada,,La Florida,-70.5934437,-33.53541130000001
osm,deis,Cruz Verde,,Las Condes,-70.5785042,-33.423614400000005
osm,deis,Farmacias Ahumada,,Lo Barnechea,-70.5149047,-33.3622911
osm,deis,Clínica Odontológica,,Vitacura,-70.5945549,-33.4021725
osm,deis,SalcoBrand,,Ñuñoa,-70.5978876,-33.4649337
osm,deis,La Botica Natural,,Providencia,-70.6228769,-33.430741199999986
osm,deis,Cruz Verde,,Las Condes,-70.5977274,-33.4145884
osm,deis,Farmacias Ahumada,,Las Condes,-70.5400451,-33.428148
osm,deis,Cruz Verde,,Las Condes,-70.5782294,-33.4302659
osm,deis,Farmacias Ahumada,,Las Condes,-70.5783474,-33.43040020000001
osm,deis,Farmacias Ahumada,,Las Condes,-70.5607581,-33.401306700000006
osm,deis,Damyfar,,San Joaquín,-70.6178069,-33.49218629999999
osm,deis,Farmacias Ahumada,,Macul,-70.6169244,-33.491804699999996
osm,deis,Farmacias Ahumada,,Las Condes,-70.5941798,-33.4165533
osm,deis,Cruz Verde,,Las Condes,-70.5687008,-33.40957029999999
osm,deis,Cruz Verde,,Las Condes,-70.5708023,-33.40945239999999
osm,deis,Farmacias Cruz Verde,,Vitacura,-70.5448948,-33.37633639999999
osm,deis,SalcoBrand,,San Bernardo,-70.7055737,-33.5938618
osm,deis,SalcoBrand,,Estación Central,-70.6801104,-33.4515837
osm,deis,SalcoBrand,,Las Condes,-70.5745636,-33.4106374
osm,deis,SalcoBrand,,Lo Barnechea,-70.5159616,-33.3587789
osm,deis,SalcoBrand,,Las Condes,-70.5608712,-33.41179439999999
osm,deis,SalcoBrand,,Lo Barnechea,-70.5186413,-33.352053600000005
osm,deis,SalcoBrand,,Las Condes,-70.5689863,-33.40961169999999
osm,deis,SalcoBrand,,Lo Barnechea,-70.5424242,-33.3476569
osm,deis,SalcoBrand,,Recoleta,-70.6473597,-33.43071990000001
osm,deis,SalcoBrand,,Ñuñoa,-70.6032304,-33.4541688
osm,deis,SalcoBrand,,Lo Barnechea,-70.5323809,-33.355181
osm,deis,Farmacias SalcoBrand,,Buin,-70.7397103,-33.73277180000001
osm,deis,La Bótica,,El Bosque,-70.6684771,-33.545483299999994
osm,deis,SalcoBrand,,Pudahuel,-70.7573724,-33.4436498
osm,deis,SalcoBrand,,La Pintana,-70.6317967,-33.5825863
osm,deis,SalcoBrand,,Las Condes,-70.5517781,-33.418397999999996
osm,deis,SalcoBrand,,Las Condes,-70.5511361,-33.398294899999996
osm,deis,SalcoBrand,,La Florida,-70.5687395,-33.548177299999985
osm,deis,SalcoBrand,,Ñuñoa,-70.6016324,-33.4543517
osm,deis,SalcoBrand,,Las Condes,-70.5407851,-33.4283789
osm,deis,SalcoBrand,,Renca,-70.7057002,-33.4042842
osm,deis,SalcoBrand,,Vitacura,-70.5678454,-33.38835619999999
osm,deis,SalcoBrand,,Las Condes,-70.5151767,-33.392575
osm,deis,SalcoBrand,,La Florida,-70.5916,-33.53980740000001
osm,deis,SalcoBrand,,Ñuñoa,-70.5866243,-33.45579849999999
osm,deis,SalcoBrand,,Las Condes,-70.5194175,-33.37394859999999
osm,deis,SalcoBrand,,Santiago,-70.6738939,-33.44923099999999
osm,deis,SalcoBrand,,Maipú,-70.7730581,-33.510099999999994
osm,deis,SalcoBrand,,Las Condes,-70.5784869,-33.430516600000004
osm,deis,Farmacias Ahumada,,Melipilla,-71.2137166,-33.6848191
osm,deis,Cruz Verde,,Recoleta,-70.6322656,-33.40368529999999
osm,deis,SalcoBrand,,La Florida,-70.5857576,-33.56106969999999
osm,deis,SalcoBrand,,Puente Alto,-70.5904097,-33.5952308
osm,deis,Farmacias Ahumada,,Vitacura,-70.5823636,-33.39722389999999
osm,deis,Cruz Verde,,Las Condes,-70.5649769,-33.407857
osm,deis,Farmacias Ahumada,,Vitacura,-70.5928068,-33.3920014
osm,deis,Cruz Roja Chilena El Monte,,El Monte,-70.9784926,-33.67959859999999
osm,deis,Farmacias Ahumada,,Ñuñoa,-70.6051892,-33.45742070000001
osm,deis,Cruz Verde,,Ñuñoa,-70.5717333,-33.4533129
osm,deis,Farmacias del Dr. Simi,,La Florida,-70.5999669,-33.520932499999994
osm,deis,SalcoBrand,,Puente Alto,-70.5849957,-33.5714824
osm,deis,Cruz Verde,,Puente Alto,-70.5845371,-33.5714232
osm,deis,Farmacia Herrera,,La Florida,-70.5858549,-33.56701209999999
osm,deis,Cruz Verde,,La Florida,-70.6026563,-33.5541407
osm,deis,Farmacias Ahumada,,La Florida,-70.595108,-33.5197318
osm,deis,Farmacias Ahumada,,Quilicura,-70.7298769,-33.382411899999994
osm,deis,Farmacias Ahumada,,Maipú,-70.762968,-33.5205036
osm,deis,Farmacias Ahumada,,Estación Central,-70.6923521,-33.45394
osm,deis,Knop,,Las Condes,-70.5683983,-33.409487299999995
osm,deis,FarPlus,,Las Condes,-70.5695094,-33.40997
osm,deis,Farmacias Ahumada,,Colina,-70.6806153,-33.285263199999996
osm,deis,Farmacias Ahumada,,Vitacura,-70.57007160000002,-33.390139
osm,deis,SalcoBrand,,Las Condes,-70.5721904,-33.4190602
osm,deis,Los Abedules - Clínica estética y dental,,Lo Barnechea,-70.5227486,-33.3528514
osm,deis,Cruz Verde,,Lo Barnechea,-70.5438554,-33.34455619999999
osm,deis,Farmacias Elemental,,Las Condes,-70.6045314,-33.416975099999995
osm,deis,SalcoBrand,,Las Condes,-70.5010105,-33.36866779999999
osm,deis,Cruz Verde,,Lo Barnechea,-70.5070675,-33.355958099999995
osm,deis,Pabellón Central Doctor Octavio Gay Pasche,,San José de Maipo,-70.34989760000002,-33.6458444
osm,deis,Sanatorio Elba Guarategua,,San José de Maipo,-70.3501873,-33.6438442
osm,deis,Valdani D,,Providencia,-70.6095613,-33.431679500000016
osm,deis,Farmacia San Lázaro,,Puente Alto,-70.5838869,-33.6177324
osm,deis,Cruz Verde,,Santiago,-70.6519712,-33.433516499999996
osm,deis,Farmacias Central,,Santiago,-70.6587122,-33.437154500000005
osm,deis,Sanar,,Las Condes,-70.542183,-33.39228609999999
