name,date,precipitation_mm
Alhué,2016-04-05,6.500660496047908
Alhué,2016-04-06,0.0
Alhué,2016-04-07,0.0
Alhué,2016-04-08,0.0
Alhué,2016-04-09,0.0
Alhué,2016-04-10,0.0
Alhué,2016-04-11,0.4431889473752554
Alhué,2016-04-12,0.6722074859901036
Alhué,2016-04-13,1.327317258271614
Alhué,2016-04-14,9.514071663201774
Alhué,2016-04-15,2.47244180513366
Alhué,2016-04-16,4.5139179614786595
Alhué,2016-04-17,14.11055773301971
Alhué,2016-04-18,0.0
Alhué,2016-04-19,0.0
Alhué,2016-04-20,0.0
Alhué,2016-04-21,0.0
Alhué,2016-04-22,7.892670769401613
Alhué,2016-04-23,13.44457546957059
Alhué,2016-04-24,7.892670769401613
Alhué,2016-04-25,0.0
Alhué,2016-04-26,0.0
Alhué,2016-04-27,16.426783937038188
Alhué,2016-04-28,9.83230219444302
Alhué,2016-04-29,1.981012364252247
Alhué,2016-04-30,0.0
Alhué,2016-05-01,28.51299293504426
Alhué,2016-05-02,6.929408895813097
Alhué,2016-05-03,0.0
Alhué,2016-05-04,0.0
Alhué,2016-05-05,6.159034219600873
Alhué,2016-05-06,0.0
Alhué,2016-05-07,0.0
Alhué,2016-05-08,0.0
Alhué,2016-05-09,0.0
Alhué,2016-05-10,0.0
Alhué,2016-05-11,4.3418450837482006
Alhué,2016-05-12,0.0
Alhué,2016-05-13,18.89324318086717
Alhué,2016-05-14,11.756938940236903
Alhué,2016-05-15,1.087753559096635
Alhué,2016-05-16,0.0
Alhué,2016-05-17,0.6672672419496883
Alhué,2016-05-18,0.0
Alhué,2016-05-19,0.0
Alhué,2016-05-20,0.0
Alhué,2016-05-21,0.0
Alhué,2016-05-22,0.0
Alhué,2016-05-23,5.3920214488764895
Alhué,2016-05-24,0.6998158230116597
Alhué,2016-05-25,9.428433286362242
Alhué,2016-05-26,6.079642398138579
Alhué,2016-05-27,0.0283875365365247
Alhué,2016-05-28,0.0
Alhué,2016-05-29,26.25787848471457
Alhué,2016-05-30,0.0
Alhué,2016-05-31,0.0
Alhué,2016-06-01,0.0
Alhué,2016-06-02,14.00022330960443
Alhué,2016-06-03,7.942460049917926
Alhué,2016-06-04,0.0
Alhué,2016-06-05,0.0
Alhué,2016-06-06,0.0
Alhué,2016-06-07,0.0
Alhué,2016-06-08,0.0
Alhué,2016-06-09,3.3531341110281776
Alhué,2016-06-10,0.0
Alhué,2016-06-11,0.0
Alhué,2016-06-12,2.0485906915812437
Alhué,2016-06-13,0.0
Alhué,2016-06-14,0.0
Alhué,2016-06-15,0.0
Alhué,2016-06-16,0.0
Alhué,2016-06-17,0.0
Alhué,2016-06-18,0.0
Alhué,2016-06-19,0.0150066345042068
Alhué,2016-06-20,0.0
Alhué,2016-06-21,0.0
Alhué,2016-06-22,0.0
Alhué,2016-06-23,1.021385247147552
Alhué,2016-06-24,0.0308985286730833
Alhué,2016-06-25,0.0
Alhué,2016-06-26,0.0
Alhué,2016-06-27,0.0
Alhué,2016-06-28,0.0
Alhué,2016-06-29,1.4338864648725758
Alhué,2016-06-30,37.7881014659095
Alhué,2016-07-01,5.870495701461354
Alhué,2016-07-02,1.3211758597104566
Alhué,2016-07-03,0.729732168076007
Alhué,2016-07-04,0.0
Alhué,2016-07-05,0.0
Alhué,2016-07-06,0.0
Alhué,2016-07-07,0.0
Alhué,2016-07-08,0.0
Alhué,2016-07-09,6.805468742242158
Alhué,2016-07-10,17.982719892085804
Alhué,2016-07-11,7.479108398151054
Alhué,2016-07-12,25.43075434306239
Alhué,2016-07-13,0.008599412824883
Alhué,2016-07-14,0.0
Alhué,2016-07-15,0.0
Alhué,2016-07-16,0.0
Alhué,2016-07-17,10.636305867901005
Alhué,2016-07-18,0.0
Alhué,2016-07-19,2.29509169614926
Alhué,2016-07-20,0.0
Alhué,2016-07-21,0.0
Alhué,2016-07-22,0.0
Alhué,2016-07-23,9.059570560864522
Alhué,2016-07-24,4.033218340424727
Alhué,2016-07-25,9.14616388754566
Alhué,2016-07-26,0.0
