tmean_annual,tmax_mean_annual,tmin_mean_annual,tmean_summer,tmax_mean_summer,tmin_mean_summer,tmean_winter,tmax_mean_winter,tmin_mean_winter,tmean_autumn,tmax_mean_autumn,tmin_mean_autumn,tmean_spring,tmax_mean_spring,tmin_mean_spring,hot_days_30c,hot_days_35c,tropical_nights_20c,frost_days,heat_wave_days,cold_spell_days,dtr_mean,dtr_p95,temp_monthly_sd,seasonal_amplitude,cdd_18,hdd_10,ehdd,tmax_p95,tmin_p05,name
16.10928961748634,23.233606557377048,10.51448087431694,22.468131868131863,31.09010989010989,15.386813186813187,9.865217391304347,15.244565217391305,5.7760869565217385,15.96195652173913,23.030434782608697,10.623913043478261,16.212087912087913,23.65934065934066,10.32197802197802,91,8,2,2,22,32,12.719125683060112,18.175000000000004,5.50820928258254,12.602914476827516,594.5,114.6,45.10000000000001,33.724999999999994,2.7,Estación Central
16.061475409836067,22.694535519125687,10.713934426229509,22.08021978021978,30.425274725274722,15.012087912087914,10.4,14.906521739130437,6.829347826086957,15.84021739130435,22.427173913043475,10.748913043478263,15.990109890109888,23.10769230769231,10.307692307692308,71,4,0,0,27,24,11.980601092896176,17.275000000000006,5.092516384808906,11.680219780219781,536.6,100.7,53.24999999999994,32.675000000000004,4.4,Huechuraba
16.1724043715847,22.754644808743173,11.006557377049178,22.030769230769234,30.397802197802196,15.33076923076923,10.71195652173913,15.108695652173916,6.985869565217392,15.872826086956522,22.495652173913044,11.031521739130435,16.137362637362635,23.103296703296703,10.721978021978021,68,3,3,1,26,28,11.748087431693989,17.0,4.977032964093704,11.318812709030103,536.6,89.70000000000002,53.19999999999999,32.675000000000004,4.125,Independencia
15.285245901639342,21.875956284153006,10.241803278688524,20.626373626373624,29.11648351648351,14.057142857142855,9.97391304347826,14.63152173913043,6.336956521739129,15.132608695652175,21.396739130434785,10.450000000000003,15.46813186813187,22.443956043956046,10.163736263736265,41,6,0,3,19,29,11.634153005464482,17.55,4.683232235937143,10.652460582895364,355.90000000000003,120.50000000000001,46.90000000000002,31.975,3.65,Isla de Maipo
15.618852459016393,22.198360655737705,10.4,21.779120879120875,29.72857142857143,15.526373626373628,9.660869565217393,14.84565217391304,5.447826086956522,15.411956521739128,21.905434782608694,10.632608695652175,15.69120879120879,22.3978021978022,10.045054945054945,53,2,3,4,26,28,11.798360655737707,16.8,5.348161470147802,12.118251313903482,503.09999999999997,156.5,49.60000000000003,32.0,1.9249999999999998,La Cisterna
14.835792349726775,21.450000000000003,9.426775956284155,21.18571428571429,28.9021978021978,15.114285714285716,8.748913043478263,14.453260869565215,4.1173913043478265,14.667391304347825,21.120652173913044,9.568478260869567,14.80989010989011,21.404395604395603,8.963736263736264,34,1,0,16,28,29,12.023224043715848,17.275,5.496058887421919,12.436801242236028,413.4,230.3,53.59999999999999,31.1,0.35,La Florida
15.618852459016393,22.198360655737705,10.4,21.779120879120875,29.72857142857143,15.526373626373628,9.660869565217393,14.84565217391304,5.447826086956522,15.411956521739128,21.905434782608694,10.632608695652175,15.69120879120879,22.3978021978022,10.045054945054945,53,2,3,4,26,28,11.798360655737707,16.8,5.348161470147802,12.118251313903482,503.09999999999997,156.5,49.60000000000003,32.0,1.9249999999999998,La Granja
14.078415300546448,21.338524590163935,8.109289617486338,20.4010989010989,29.23626373626373,13.17032967032967,7.853260869565218,13.665217391304349,3.172826086956522,14.127173913043476,21.211956521739133,8.375000000000002,14.0,21.326373626373623,7.77032967032967,40,2,0,30,24,27,13.229234972677595,18.900000000000002,5.526522202498854,12.547838031533683,315.5,297.5,47.450000000000024,31.8,-1.1,La Pintana
15.48032786885246,22.073224043715847,10.274043715846995,21.64395604395604,29.5978021978022,15.401098901098901,9.52282608695652,14.719565217391304,5.325,15.265217391304349,21.780434782608697,10.508695652173913,15.557142857142857,22.27912087912088,9.913186813186813,48,2,3,5,26,28,11.799180327868852,16.8,5.346043504849164,12.121129956999521,482.1,166.9,48.199999999999946,31.875,1.825,La Reina
16.687158469945356,23.903551912568307,10.860928961748634,23.204395604395607,31.5989010989011,15.891208791208793,10.352173913043478,15.952173913043477,6.0836956521739145,16.356521739130436,23.664130434782606,10.903260869565218,16.90879120879121,24.489010989010985,10.617582417582419,104,12,3,0,29,28,13.042622950819673,18.275,5.624300382365171,12.85222169135213,706.8000000000001,96.4,53.900000000000006,33.975,3.225,Lampa
14.43551912568306,19.77185792349727,10.007650273224044,20.469230769230766,26.785714285714285,15.541758241758243,8.76086956521739,13.224999999999998,4.935869565217391,14.053260869565216,19.13804347826087,10.056521739130435,14.525274725274727,20.017582417582418,9.551648351648351,13,0,3,10,25,34,9.764207650273223,13.799999999999999,5.27755141490385,11.708361204013375,340.8,293.4,51.89999999999999,29.075000000000003,0.9,Las Condes
